Lp.,Miasto,Odl od morza,Odl od centrum miasta,Odl od centrum handl.,Odl od glownej arterii,Liczba pokoi,Liczba łazienek,Powierzchnia,Piętro,Ilosc pieter,Cena za m2,Cena brutto
109,Gdańsk,4.44,4.22,0.7,0.7,3,1,72.7,0,3,14359.00,1043910.00
110,Gdańsk,4.44,4.22,0.7,0.7,3,1,71.9,1,3,14715.00,1058020.00
111,Gdańsk,4.44,4.22,0.7,0.7,3,2,74.1,1,3,14953.00,1107980.00
112,Gdańsk,4.44,4.22,0.7,0.7,2,1,47.5,1,3,18869.00,896260.00
113,Gdańsk,4.44,4.22,0.7,0.7,3,1,72.7,1,3,14715.00,1069792.00
114,Gdańsk,4.44,4.22,0.7,0.7,3,1,71.9,2,3,14953.00,1075085.00
115,Gdańsk,4.44,4.22,0.7,0.7,3,1,72.7,2,3,14953.00,1087047.00
116,Gdańsk,4.44,4.22,0.7,0.7,3,1,83.1,3,3,14265.00,1185442.00
117,Gdańsk,4.44,4.22,0.7,0.7,3,2,64.6,0,3,14715.00,950599.00
118,Gdańsk,4.44,4.22,0.7,0.7,3,1,60.8,0,3,14715.00,894682.00
119,Gdańsk,4.44,4.22,0.7,0.7,3,1,63.7,1,3,15071.00,960034.00
120,Sopot,0.44,1.4,2.5,0.4,2,1,62.5,0,3,34012.00,2125753.00
121,Sopot,0.44,1.4,2.5,0.4,2,1,58.8,0,3,34012.00,1999908.00
122,Sopot,0.44,1.4,2.5,0.4,2,1,55.5,0,3,35663.00,1979303.00
123,Sopot,0.44,1.4,2.5,0.4,2,1,56.7,0,3,35663.00,2022098.00
124,Sopot,0.44,1.4,2.5,0.4,2,1,59,0,3,34012.00,2006710.00
125,Sopot,0.44,1.4,2.5,0.4,2,1,62.4,1,3,34012.00,2122351.00
126,Sopot,0.44,1.4,2.5,0.4,2,1,55.3,1,3,35663.00,1972170.00
127,Gdynia,3.2,2,2.8,0.24,4,2,87.1,4,6,14377.00,1252210.00
128,Gdynia,3.2,2,2.8,0.24,3,2,74.5,0,6,14003.00,1043234.00
129,Gdynia,3.2,2,2.8,0.24,3,2,68.1,0,6,14003.00,953614.00
130,Gdynia,3.2,2,2.8,0.24,3,2,70.1,2,6,14335.00,1004913.00
131,Gdynia,3.2,2,2.8,0.24,3,2,70.3,4,6,13291.00,934365.00
132,Gdynia,3.2,2,2.8,0.24,6,2,124.7,6,6,14154.00,1764978.00
133,Gdynia,3.2,2,2.8,0.24,3,2,67.2,0,6,14596.00,980884.00
134,Gdynia,3.2,2,2.8,0.24,3,2,68.1,0,6,13172.00,897043.00
135,Gdynia,3.2,2,2.8,0.24,3,2,69.7,1,6,14122.00,984290.00
136,Gdynia,3.2,2,2.8,0.24,3,2,70.2,3,6,14217.00,998015.00
137,Gdynia,3.2,2,2.8,0.24,5,2,105.4,5,6,13931.00,1468317.00
138,Gdynia,3.2,2,2.8,0.24,6,2,124.7,6,6,14042.00,1751081.00
139,Gdańsk,1.64,5.9,1,2,2,1,45.1,3,17,15272.00,688785.00
140,Gdańsk,1.64,5.9,1,2,3,2,67,3,17,14344.00,961026.00
141,Gdańsk,1.64,5.9,1,2,4,2,105,6,17,14034.00,1473580.00
142,Gdańsk,1.64,5.9,1,2,3,2,66.8,13,17,17543.00,1171847.00
143,Gdańsk,1.64,5.9,1,2,1,1,38.8,15,17,22702.00,880846.00
144,Gdańsk,1.64,5.9,1,2,4,2,96,16,17,18575.00,1783156.00
145,Gdańsk,1.64,5.9,1,2,3,1,63.9,17,17,26830.00,1714430.00
146,Gdańsk,1.64,5.9,1,2,3,2,67,7,17,15479.00,1037078.00
147,Gdańsk,9.1,3.8,4,3.2,3,1,53,0,3,11046.00,585426.00
148,Gdańsk,9.1,3.8,4,3.2,3,1,55.6,1,3,12559.00,698283.00
149,Gdańsk,9.1,3.8,4,3.2,3,1,55.6,2,3,11986.00,666408.00
150,Gdańsk,9.1,3.8,4,3.2,3,1,68.3,2,3,11473.00,783583.00
151,Gdańsk,9.1,3.8,4,3.2,3,1,68.7,2,3,11682.00,802557.00
152,Gdańsk,9.1,3.8,4,3.2,3,1,68.9,1,3,11559.00,796422.00
153,Gdańsk,9.1,3.8,4,3.2,3,1,68.9,0,3,11012.00,758756.00
154,Gdynia,4.86,6.2,4.2,4.2,4,2,137.06,3,3,9947.00,1363327.00
155,Gdynia,4.86,6.2,4.2,4.2,4,2,139.58,3,3,9922.00,1384904.00
156,Gdynia,4.86,6.2,4.2,4.2,4,1,135.17,2,3,9734.00,1315804.00
157,Sopot,0.7,1.2,4.8,1,2,1,104.29,3,3,18356.00,1914370.00
158,Sopot,0.7,1.2,4.8,1,2,1,67.44,1,3,19321.00,1302999.00
159,Gdańsk,11,5.8,5.4,5.1,2,2,106.71,2,2,9094.00,970462.00
160,Gdańsk,11,5.8,5.4,5.1,2,1,85.23,2,2,9094.00,775115.00
161,Gdańsk,11,5.8,5.4,5.1,2,2,106.71,2,2,9094.00,970462.00
162,Gdańsk,11,5.8,5.4,5.1,2,2,106.71,2,2,9094.00,970462.00
163,Gdańsk,9.1,3.9,4,3.2,3,2,65.82,0,3,10647.00,700791.00
164,Gdańsk,9.1,3.9,4,3.2,2,2,87.34,3,3,9857.00,860915.00
165,Gdańsk,9.1,3.9,4,3.2,2,1,99.5,3,3,9978.00,992841.00
166,Gdańsk,9.1,3.9,4,3.2,2,1,99.5,3,3,9978.00,992841.00
167,Gdańsk,9.1,3.9,4,3.2,2,2,87.14,3,3,10267.00,894635.00
168,Gdańsk,8,5.32,2,4.12,1,1,38.96,3,3,15860.00,617895.00
169,Gdańsk,8,5.32,2,4.12,2,1,51.35,0,3,12579.00,645936.00
170,Gdańsk,8,5.32,2,4.12,2,1,51.41,0,3,12669.00,651315.00
171,Gdańsk,8,5.32,2,4.12,2,1,51.41,0,3,12777.00,656855.00
172,Gdańsk,8,5.32,2,4.12,2,1,59.48,1,3,13766.00,818790.00
173,Gdańsk,8,5.32,2,4.12,3,1,67.37,0,3,12579.00,847453.00
174,Gdańsk,8,5.32,2,4.12,3,1,56.41,3,3,15749.00,888390.00
175,Gdańsk,8,5.32,2,4.12,4,2,80.5,2,3,12579.00,1012617.00
176,Gdańsk,8,5.32,2,4.12,4,2,81.21,2,3,12579.00,1021548.00
177,Gdańsk,8,5.32,2,4.12,4,2,92.43,2,3,12329.00,1139586.00
178,Gdańsk,6.4,12.8,0.8,5.4,5,1,142.1,3,3,6433.00,914075.00
179,Gdynia,2.08,4.6,1.5,1.2,5,4,169.4,0,3,11457.00,1940848.00
180,Gdynia,2.08,4.6,1.5,1.2,3,2,82.1,0,3,18241.00,1497621.00
181,Gdynia,2.08,4.6,1.5,1.2,3,2,93.9,0,3,17614.00,1653960.00
182,Gdynia,2.08,4.6,1.5,1.2,2,1,71.5,0,3,17310.00,1237689.00
183,Gdynia,2.08,4.6,1.5,1.2,4,2,98.8,0,3,17462.00,1725203.00
184,Gdynia,2.08,4.6,1.5,1.2,3,2,80.7,0,3,17407.00,1404735.00
185,Gdynia,2.08,4.6,1.5,1.2,3,2,80.7,1,3,17290.00,1395298.00
186,Gdańsk,7.5,4,0.8,7.6,3,2,73.47,0,3,12547.00,921852.00
187,Gdańsk,7.5,4,0.8,7.6,4,2,77.07,0,3,12848.00,990226.00
188,Gdańsk,7.5,4,0.8,7.6,4,2,92.86,1,3,11876.00,1102788.00
189,Gdańsk,7.5,4,0.8,7.6,3,1,63.76,0,3,12202.00,777981.00
190,Gdańsk,7.5,4,0.8,7.6,3,2,64.28,1,3,12646.00,812856.00
191,Gdańsk,7.5,4,0.8,7.6,3,2,73.11,2,3,13089.00,956964.00
192,Gdańsk,7.5,4,0.8,7.6,3,2,64.96,1,3,12646.00,821455.00
193,Gdańsk,7.5,4,0.8,7.6,3,1,51.78,3,3,15988.00,827840.00
194,Gdańsk,7.5,4,0.8,7.6,4,2,75.72,1,3,12646.00,957521.00
195,Gdańsk,7.5,4,0.8,7.6,4,2,75.65,2,3,13089.00,990211.00
196,Gdynia,2.8,4,4,2.8,4,2,90.9,1,6,10990.00,998999.00
197,Gdynia,2.8,4,4,2.8,3,1,63,1,6,11513.00,725346.00
198,Gdynia,2.8,4,4,2.8,3,1,62.6,3,6,12037.00,753501.00
199,Gdynia,2.8,4,4,2.8,3,1,70.2,4,6,12298.00,863350.00
200,Gdynia,2.8,4,4,2.8,4,2,90.3,5,6,12079.00,1090711.00
201,Gdynia,2.8,4,4,2.8,2,1,54.4,0,5,11252.00,612096.00
202,Gdynia,2.8,4,4,2.8,3,2,68.6,0,5,12037.00,825722.00
203,Gdynia,2.8,4,4,2.8,3,2,65,2,5,12298.00,799398.00
204,Gdynia,2.8,4,4,2.8,3,2,64.8,3,5,12298.00,796938.00
205,Gdynia,2.8,4,4,2.8,4,2,104.7,5,5,11833.00,1238916.00
206,Gdynia,0.9,5,0.4,0.28,2,1,57.9,3,3,18778.00,1087244.00
207,Gdynia,0.9,5,0.4,0.28,3,2,84.1,3,3,18358.00,1543900.00
208,Gdynia,0.9,5,0.4,0.28,3,1,66.1,0,3,15820.00,1045706.00
209,Gdynia,0.9,5,0.4,0.28,3,2,79.7,1,3,16433.00,1309726.00
210,Gdynia,0.9,5,0.4,0.28,2,1,58,2,3,18845.00,1093022.00
211,Gdynia,0.9,5,0.4,0.28,3,2,86.8,3,3,19377.00,1681924.00
212,Gdynia,0.9,5,0.4,0.28,2,2,65.6,3,3,19629.00,1287659.00
213,Gdynia,0.9,5,0.4,0.28,2,1,40.5,0,3,20281.00,821401.00
214,Gdynia,0.9,5,0.4,0.28,3,1,63.7,1,3,17749.00,1130627.00
215,Gdynia,0.9,5,0.4,0.28,3,2,71.8,2,3,17649.00,1267215.00
216,Gdynia,2.24,3.2,3.6,2.6,2,1,54.5,3,7,13289.00,724224.00
