lp,tittle,rodzaj,rooms,price [euro],metraż,cena za metr kw [euro],cena za metr kw [zł],bathrooms,garage,terrace,zipcode,rok budowy,ilosc hoteli w poblizu jako wskaznik atrakcyjnosci miejsca
124,"Piso en avenida de Cádiz, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,3 hab.,600000,190,3158,14526,2,1,0,41018,0,5
125,"Piso en avenida de Cádiz, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,3 hab.,600000,190,3158,14526,2,1,0,41018,0,5
126,"Piso en avenida de Diego Martínez Barrio, Tiro de Línea, Sevilla",mieszkanie,2 hab.,119000,40,2975,13685,1,0,0,41013,1973,3
127,"Piso en avenida de El Greco, Luis Montoto - Santa Justa, Sevilla",mieszkanie,3 hab.,256000,126,2032,9346,1,0,1,41007,1965,3
128,"Piso en avenida de El Greco, San Pablo, Sevilla",mieszkanie,3 hab.,84000,54,1556,7156,1,0,0,41007,1963,3
129,"Piso en avenida de Finlandia, Los Bermejales, Sevilla",mieszkanie,3 hab.,360000,110,3273,15055,2,1,0,41012,2007,3
130,"Piso en avenida de Kansas City, Arroyo - Santa Justa, Sevilla",mieszkanie,2 hab.,434800,110,3953,18183,2,1,1,41007,0,3
131,"Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla",mieszkanie,3 hab.,300000,96,3125,14375,1,1,1,41018,0,5
132,"Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla",mieszkanie,3 hab.,250000,93,2688,12366,1,1,1,41018,0,5
133,"Piso en avenida de kansas city, Luis Montoto - Santa Justa, Sevilla",mieszkanie,4 hab.,385000,165,2333,10733,2,0,1,41018,0,5
134,"Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla",mieszkanie,3 hab.,315000,140,2250,10350,2,1,1,41018,1983,5
135,"Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla",mieszkanie,3 hab.,290000,129,2248,10341,2,1,0,41018,0,5
136,"Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla",mieszkanie,4 hab.,233000,164,1421,6535,1,0,0,41018,1967,5
137,"Piso en avenida de Kansas City, Santa Clara, Sevilla",mieszkanie,3 hab.,260000,117,2222,10222,2,0,0,41018,0,5
138,"Piso en avenida de Kansas City, Sevilla, 74, Santa Clara, Sevilla",mieszkanie,3 hab.,245000,110,2227,10245,2,1,0,41018,0,5
139,"Piso en avenida de Kansas City, Sevilla, 78, Santa Clara, Sevilla",mieszkanie,4 hab.,375000,124,3024,13911,2,0,0,41018,2004,5
140,"Piso en avenida de Kansas City, Sevilla, Luis Montoto - Santa Justa, Sevilla",mieszkanie,4 hab.,422000,153,2758,12688,2,0,1,41018,0,5
141,"Piso en avenida de la Barzola, Villegas - Los Principes, Sevilla",mieszkanie,3 hab.,115000,83,1386,6373,1,1,1,41009,1986,2
142,"Piso en avenida de la Barzola, Villegas - Los Principes, Sevilla",mieszkanie,3 hab.,59900,56,1070,4920,1,0,1,41009,1969,2
143,"Piso en avenida de la Borbolla, Felipe II - Bueno Monreal, Sevilla",mieszkanie,7 hab.,525000,270,1944,8944,4,0,1,41013,1950,3
144,"Piso en avenida de la Buhaira, s/n, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,3 hab.,720000,129,5581,25674,2,1,0,41018,2019,5
145,"Piso en avenida de la Buhaira, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,4 hab.,850000,152,5592,25724,2,1,1,41018,2019,5
146,"Piso en avenida de la Cruz Roja, Cruz Roja - Capuchinos, Sevilla",mieszkanie,5 hab.,225000,124,1815,8347,3,0,0,41009,1970,2
147,"Piso en avenida de la Innovación, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,1 hab.,126000,75,1680,7728,1,1,0,41020,0,6
148,"Piso en avenida de la Paz, Sevilla, Su Eminencia - La Oliva, Sevilla",mieszkanie,3 hab.,115000,120,958,4408,2,1,1,41006,0,1
149,"Piso en avenida de la Paz, Su Eminencia - La Oliva, Sevilla",mieszkanie,3 hab.,78500,78,1006,4629,2,1,1,41006,1996,1
150,"Piso en avenida de la Raza, 3, Felipe II - Bueno Monreal, Sevilla",mieszkanie,2 hab.,190000,57,3333,15333,1,0,0,41013,2005,3
151,"Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla",mieszkanie,3 hab.,550000,180,3056,14056,2,1,1,41013,0,3
152,"Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla",mieszkanie,3 hab.,550000,198,2778,12778,2,1,0,41013,1955,3
153,"Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla",mieszkanie,3 hab.,550000,198,2778,12778,2,1,0,41013,1955,3
154,"Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla",mieszkanie,4 hab.,395000,150,2633,12113,2,0,1,41012,0,3
155,"Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla",mieszkanie,3 hab.,315000,140,2250,10350,2,1,1,41012,1967,3
156,"Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla",mieszkanie,3 hab.,200000,117,1709,7863,2,0,1,41012,1968,3
157,"Piso en avenida de la Reina Mercedes, Sevilla, Reina Mercedes - Heliópolis, Sevilla",mieszkanie,5 hab.,400000,180,2222,10222,2,1,1,41012,0,3
158,"Piso en avenida de la República Argentina, 50, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,700000,280,2500,11500,4,1,1,41011,1971,2
159,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,3 hab.,465000,148,3142,14453,2,0,1,41011,0,2
160,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,465000,158,2943,13538,3,1,1,41011,1981,2
161,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,700000,240,2917,13417,4,1,1,41011,0,2
162,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,1200000,420,2857,13143,4,1,1,41011,0,2
163,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,4 hab.,414000,148,2797,12868,1,0,0,41011,1966,2
164,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,825000,301,2741,12608,3,1,1,41011,1966,2
165,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,6 hab.,825000,301,2741,12608,3,1,1,41011,1966,2
166,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,6 hab.,820000,301,2724,12532,3,1,0,41011,1966,2
167,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,6 hab.,1200000,450,2667,12267,5,1,1,41011,0,2
168,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,4 hab.,950000,358,2654,12207,5,1,1,41011,1968,2
169,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,530000,200,2650,12190,3,0,1,41011,1981,2
170,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,600000,228,2632,12105,2,1,1,41011,0,2
171,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,650000,250,2600,11960,2,1,1,41011,1973,2
172,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,825000,326,2531,11641,3,1,1,41011,0,2
173,"Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla",mieszkanie,5 hab.,700000,280,2500,11500,4,1,1,41011,1970,2
